CustomerID,Age,Monthly_Spending,Visits_Per_Month,Satisfaction_Score
1.0,56.0,679.4521103460169,1.0,3.0
2.0,46.0,540.5817502391984,12.0,4.0
3.0,32.0,904.6755504352008,12.0,3.0925925925925926
4.0,25.0,389.5531033919149,14.0,2.0
5.0,38.0,452.1633931981759,13.0,5.0
6.0,56.0,492.6963095030305,14.0,2.0
7.0,36.0,329.7499449690317,7.62962962962963,5.0
8.0,40.0,625.0989940807306,6.0,1.0
9.0,28.0,608.423898875101,3.0,3.0925925925925926
10.0,28.0,502.280039727458,12.0,5.0
58.342592592592595,41.0,435.87002555917934,9.0,1.0
12.0,53.0,320.5935355022797,5.0,2.0
13.0,57.0,405.2890005562496,8.0,2.0
14.0,41.0,589.2453540525472,13.0,1.0
15.0,20.0,474.5406293946048,1.0,2.0
16.0,39.0,448.77574471523326,7.62962962962963,3.0925925925925926
17.0,19.0,560.1737997829766,5.0,5.0
18.0,41.0,638.9823983518434,3.0,5.0
19.0,47.0,530.8540244067535,12.0,1.0
20.0,38.55555555555556,537.7415475035806,1.0,5.0
21.0,19.0,664.6234560259732,4.0,5.0
22.0,38.0,521.0663952745799,13.0,5.0
23.0,50.0,462.8853744266507,5.0,3.0
24.0,29.0,580.775060332877,7.0,4.0
25.0,39.0,469.2043780768935,1.0,2.0
26.0,42.0,455.86091310406863,3.0,3.0
27.0,44.0,652.8480344167467,2.0,5.0
28.0,59.0,464.9656795009256,7.62962962962963,1.0
29.0,45.0,181.3788742923836,7.62962962962963,5.0
30.0,33.0,541.462153266652,6.0,4.0
31.0,32.0,452.5380258103648,10.0,5.0
58.342592592592595,38.55555555555556,465.30357722360696,7.62962962962963,1.0
33.0,54.0,514.164467015607,8.0,4.0
34.0,24.0,480.07269099787214,14.0,3.0925925925925926
35.0,38.0,525.7926596113706,7.62962962962963,4.0
36.0,26.0,257.3222080165118,2.0,2.0
37.0,56.0,514.164467015607,6.0,2.0
38.0,35.0,668.4750486391152,7.0,5.0
39.0,38.55555555555556,497.7739034586032,2.0,4.0
40.0,42.0,514.164467015607,11.0,1.0
58.342592592592595,31.0,371.2961798677211,10.0,3.0925925925925926
42.0,26.0,380.8896584716172,2.0,2.0
58.342592592592595,43.0,512.28172190596,10.0,3.0925925925925926
44.0,19.0,514.164467015607,1.0,5.0
45.0,38.55555555555556,420.8981237076226,8.0,4.0
46.0,45.0,500.47247653176834,1.0,2.0
47.0,24.0,557.3304919320233,9.0,4.0
48.0,25.0,468.91656263133314,11.0,2.0
49.0,52.0,431.03489508639205,6.0,2.0
50.0,31.0,449.420213559214,7.0,3.0
51.0,34.0,540.7785157023973,13.0,2.0
52.0,53.0,499.1143820066512,10.0,1.0
53.0,57.0,592.0756206447685,7.0,5.0
54.0,21.0,362.024890700677,10.0,5.0
55.0,38.55555555555556,406.9596672851667,3.0,4.0
56.0,23.0,592.7769027067098,2.0,2.0
57.0,59.0,514.164467015607,9.0,1.0
58.0,21.0,514.164467015607,8.0,4.0
59.0,46.0,668.6246367053825,13.0,3.0
60.0,35.0,667.0790904190284,12.0,4.0
61.0,43.0,394.3231017764277,10.0,4.0
62.0,51.0,514.164467015607,7.0,2.0
63.0,27.0,440.7881021356008,9.0,3.0
64.0,53.0,610.7795130010344,4.0,4.0
65.0,31.0,704.7925944414154,13.0,1.0
66.0,48.0,604.8307298762455,4.0,1.0
67.0,38.55555555555556,501.0973214888165,1.0,5.0
68.0,38.55555555555556,456.1352843800949,8.0,3.0925925925925926
69.0,31.0,577.8904079154927,14.0,3.0
70.0,40.0,353.2551755989632,14.0,5.0
71.0,57.0,564.3603238858478,12.0,4.0
72.0,38.0,390.2370882486467,3.0,3.0
73.0,33.0,574.4657859154082,7.62962962962963,1.0
74.0,35.0,480.6875147764324,12.0,1.0
75.0,41.0,453.4082721228063,2.0,2.0
76.0,43.0,393.7385151405382,2.0,3.0
77.0,42.0,457.1905969078167,7.0,4.0
78.0,58.0,514.164467015607,6.0,5.0
79.0,46.0,625.2632733102389,7.62962962962963,5.0
80.0,32.0,514.164467015607,9.0,3.0925925925925926
81.0,18.0,663.6663829300526,10.0,2.0
82.0,38.55555555555556,804.6995259523198,14.0,5.0
83.0,24.0,461.0610850605328,13.0,3.0
84.0,26.0,475.2959939485394,6.0,2.0
85.0,41.0,327.19502627794424,10.0,3.0
86.0,18.0,642.8872707336368,10.0,1.0
87.0,25.0,655.9276177117385,7.62962962962963,2.0
58.342592592592595,38.55555555555556,395.9424612740536,7.62962962962963,5.0
89.0,28.0,574.1169014613374,4.0,2.0
90.0,34.0,646.0484956376132,10.0,3.0925925925925926
91.0,25.0,527.154592339865,6.0,3.0925925925925926
